"","hotelname..1.","url","gps","price"
"68","台北麗湖大飯店","HDP0000000396","toMap('25.0736','121.6062')","2990.00"
"69","台北碧瑤飯店","HDP0000000719","toMap('25.047909','121.544764')","2925.00"
"70","台北薆悅酒店","HDP0000010599","toMap('25.045054','121.506708')","2900.00"
"71","台北神旺大飯店","HDP0000000194","toMap('25.0413058','121.550854')","2900.00"
"72","台北晶璽商旅","HDP0000010447","toMap('25.0328049','121.559129')","2900.00"
"73","台北薇閣精品旅館-大直館","HDP0000020019","toMap('25.083639','121.555941')","2900.00"
"74","台北舞衣新宿-中山店","HDP0000010406","toMap('25.0507409','121.523577')","2850.00"
"75","台北家美飯店","HDP0000000593","toMap('25.0461002','121.524422')","2850.00"
"76","台北富園國際商務飯店","HDP0000000379","toMap('25.0392179','121.507031')","2800.00"
"77","台北凱撒大飯店","HDP0000000015","toMap('25.0462151','121.516596')","2800.00"
"78","台北洛碁商旅-中華館","HDP0000020290","toMap('25.044924','121.509441')","2800.00"
"79","台北頭等艙飯店","HDP0000010573","toMap('25.043218','121.508235')","2800.00"
"80","台北柯達飯店-台北一店","HDP0000020300","toMap('25.052813','121.523346')","2800.00"
